object_ID,stat_num,stat_ID,stat_name,street_num,street,address_2,city,province,postal_code,country,lat,lon
166,295,SMRB,Saint-Maurice Riviere Boom,,,,,Quebec,G0X 3R0,Canada,47.898494,-73.749198
167,130,SPAU,Saint-Paulin,,Rang Renversy,,,Quebec,J0K 3G0,Canada,46.40109545,-73.01596515
168,38,STIT,Saint-Tite,,Rue Marchildon,,,Quebec,G0X 3H0,Canada,46.72311642,-72.56415695
169,629,SFOY,Sainte-Foy,,Rue du Domaine-des-Retraités,,Quebec,Quebec,G1W 4V4,Canada,46.7542383,-71.29757499
170,39,SANF,Sanford,,Chemin du Trappeur (Zec Jeannotte),,,Quebec,,Canada,47.48238,-72.219226
171,306,SANM,Sanmaur,,Chemin de Wemotaci,,,Quebec,G0X 3R0,Canada,47.893778,-73.795987
172,341,SARN,Sarnia,,Green Street,,Sarnia,Ontario,N7T 2K4,Canada,42.95709,-82.38892
173,634,SAUV,Sauve (EXO),,Rue Saint-Denis,,Montreal,Quebec,H2M 1P2,Canada,45.5494849,-73.6543026
174,42,SAYA,Sayabec,,Rue Lacroix,,,Quebec,G0J 3K0,Canada,48.558674,-67.689528
175,460,SENN,Senneterre,,4e Rue Ouest,,,Quebec,J0Y 2M0,Canada,48.392294,-77.244388
176,459,SHWN,Shawinigan,,Chemin du CNR,,Shawinigan,Quebec,G9N 2B4,Canada,46.54982209,-72.74526363
177,287,SHEA,Sheahan,,,,Unorganized North Sudbury,Ontario,,Canada,46.940241,-81.797855
178,125,SIGN,Signai,,Chemin de Pénétration,,,Quebec,,Canada,48.2959004,-76.82965018
179,638,SNKR,Sinker,,Metagama Road,,Unorganized North Sudbury,Ontario,,Canada,47.14846329,-81.96057112
180,377,SMTF,Smiths Falls,,Union Street,,,Ontario,K7A 2S2,Canada,44.912455,-76.024023
181,60,SPAR,South Parry,,Avenue Road,,,Ontario,P2A 1Y3,Canada,45.34590993,-80.03788636
182,185,SCAT,St. Catharines,,Great Western Street,,St. Catharines,Ontario,L2S 1L5,Canada,43.14766432,-79.25637728
183,11,SMYS,St. Marys,5,James Street North,,,Ontario,N4X 1B1,Canada,43.26040072,-81.13639017
184,166,STAD,Stadacona,,Route 3 (Zec Jeannotte),,,Quebec,,Canada,47.441409,-72.249148
185,286,STRN,Strachan,,,,,Quebec,,Canada,48.030046,-74.865886
186,329,STRL,Stralak,,,,Unorganized North Sudbury,Ontario,,Canada,46.804797,-81.680016
187,7,STRF,Stratford,,Nile Street,,Stratford,Ontario,N5A 3W5,Canada,43.36437344,-80.97574139
188,14,STRR,Strathroy,,Metcalfe Street,,Strathroy-Caradoc,Ontario,N7G 3Z1,Canada,42.95468221,-81.62291953
189,621,SUDB,Sudbury,,Elgin Street,,Greater Sudbury,Ontario,P3E 1E3,Canada,46.48737212,-80.99221868
190,4,SUDJ,Sudbury Jct,,Lasalle Boulevard,,Greater Sudbury,Ontario,P3A 4R7,Canada,46.52461028,-80.90208618
191,266,SULT,Sultan,,Highway 667,,Unorganized North Sudbury,Ontario,,Canada,47.594677,-82.772959
192,47,SMQU,Summit,,,,,Quebec,,Canada,47.788379,-72.185186
193,637,SWAN,Swanson,,Esnagi Dam,,Unorganized North Algoma,Ontario,,Canada,48.48282148,-84.53484513
194,292,TIMB,Timbrell,,Chemin de Clova,,,Quebec,,Canada,47.968028,-74.764449
195,119,TRTO,Toronto,140,Bay Street,,Toronto,Ontario,M5J 2L5,Canada,43.64481,-79.38032
196,413,TRNJ,Trenton Junction,,Telephone Road,,Quinte West,Ontario,K8V 5P9,Canada,44.11525231,-77.59880558
197,170,TPIS,Trois Pistoles,,Rue de la Gare,,,Quebec,G0L 4K0,Canada,48.12700184,-69.17329568
198,247,VBRU,Van Bruyssels,,Chemin Van Bruyssel-Kiskissink,,,Quebec,,Canada,47.935897,-72.149757
199,339,VDRY,Vandry,,Chemin de Vandry,,,Quebec,,Canada,47.859472,-73.558316
200,59,WSHG,Washago,,Quetton Street,,Severn,Ontario,L0K 2B0,Canada,44.748362,-79.334872
201,76,WSTR,Westree,,,,Unorganized North Sudbury,Ontario,,Canada,47.418601,-81.547963
202,49,WYMT,Weymont,,Rue A,,,Quebec,G0X 3R0,Canada,47.897887,-73.775387
203,116,WHTR,White River,,Winnipeg Street North,,,Ontario,,Canada,48.589888,-85.282991
204,168,WGWC,Wigwam,,,,,Quebec,,Canada,47.853405,-73.468078
205,299,WNDG,Windigo,,Route 11,,,Quebec,G9X 3P4,Canada,47.77122,-73.334097
206,618,WDON,Windsor,,Montreuil Avenue,,Windsor,Ontario,N8Y 2M9,Canada,42.324933,-83.007134
207,128,WOMR,Woman River,,Hong Kong Road,,Unorganized North Sudbury,Ontario,,Canada,47.511624,-82.628067
208,282,WDST,Woodstock,100,Victoria Street South,,Woodstock,Ontario,N4S 8R4,Canada,43.126528,-80.752123
209,280,WYOM,Wyoming,579,Front Street,,,Ontario,N0N 1T0,Canada,42.94796,-82.12226
